Country,ISO,Currency,Exchange rate
,,,1 Tawara dollar =
Afghanistan,AFN,Afghani,93.023
Madagascar,MGA,Ariary,4616.695
Thailand,THB,Baht,40.178
Panama,PAB,Balboa,1.221
Ethiopia,ETB,Birr,40.355
Bolivia,BOB,Boliviano,8.432
Ghana,GHS,Cedi,7.062
Costa Rica,CRC,Colon,699.537
El Salvador,SVC,Colon,10.697
Nicaragua,NIO,Cordoba,41.749
Gambia,GMD,Dalasi,62.705
Macedonia,MKD,Denar,4694.352
Algeria,DZD,Dinar,155.738
Bahrain,BHD,Dinar,0.471
Iraq,IQD,Dinar,1458.913
Jordan,JOD,Dinar,0.867
Kuwait,KWD,Dinar,0.384
Libya,LYD,Dinar,1.734
Serbia,RSD,Dinar,132.305
Tunisia,TND,Dinar,3.546
Morocco,MAD,Dirham,12.559
United Arab Emirates,AED,Dirham,4.511
Sao Tom‚ and Pr¡ncipe,STD,Dobra,27.55
Australia,AUD,Dollar,1.938
Bahamas,BSD,Dollar,1.221
Barbados,BBD,Dollar,124.755
Belize,BZD,Dollar,2.443
Bermuda,BMD,Dollar,1.235
Brunei Darussalam,BND,Dollar,1.749
Canada,CAD,Dollar,1.716
Cayman Islands,KYD,Dollar,1.015
East Caribbean,XCD,Dollar,3.319
Fiji,FJD,Dollar,2.797
Guyana,GYD,Dollar,255.154
Hong Kong,HKD,Dollar,9.535
Jamaica,JMD,Dollar,166.711
Liberia,LRD,Dollar,243.659
Namibia,NAD,Dollar,22.36
New Zealand,NZD,Dollar,2.023
Singapore,SGD,Dollar,1.734
Solomon Islands,SBD,Dollar,10.214
Suriname,SRD,Dollar,9.17
Taiwan,TWD,Dollar,36.931
Tawara,TRD,Dollar,1
Trinidad and Tobago,TTD,Dollar,8.254
Tuvalu,TVD,Dollar,1.812
United States of America,USD,Dollar,1.229
Zimbabwe,ZWD,Dollar,444.925
Vietnam,VND,Dong,29053.284
Armenia,AMD,Dram,1.077
Cape Verde,CVE,Escudo,124.09
Andorra,EUR,Euro,1.124
Austria,EUR,Euro,1.124
Belgium,EUR,Euro,1.124
Cyprus,EUR,Euro,1.124
Estonia,EUR,Euro,1.124
Finland,EUR,Euro,1.124
France,EUR,Euro,1.124
Germany,EUR,Euro,1.124
Greece,EUR,Euro,1.124
Ireland,EUR,Euro,1.124
Italy,EUR,Euro,1.124
Kosovo,EUR,Euro,1.124
Latvia,EUR,Euro,1.124
Lithuania,EUR,Euro,1.124
Luxembourg,EUR,Euro,1.124
Malta,EUR,Euro,1.124
Monaco,EUR,Euro,1.124
Montenegro,EUR,Euro,1.124
Netherlands,EUR,Euro,1.124
Portugal,EUR,Euro,1.124
San Marino,EUR,Euro,1.124
Slovakia,EUR,Euro,1.124
Slovenia,EUR,Euro,1.124
Spain,EUR,Euro,1.124
Vatican City,EUR,Euro,1.124
Aruba,AWG,Florin,2.213
Hungary,HUF,Forint,396.522
Burundi,BIF,Franc,736.977
Comoros,KMF,Franc,736.977
Congo/Kinshasa,CDF,Franc,736.977
Djibouti,DJF,Franc,736.977
Guinea,GNF,Franc,736.977
Rwanda,RWF,Franc,736.977
Switzerland,CHF,Franc,1.186
Venezuela,VEF,Fuerte,305446.042
Haiti,HTG,Gourde,115.875
